#MUTATION	MAPK_SIGNALING_PATHWAY	ERBB_SIGNALING_PATHWAY	REGULATION_OF_ACTIN_CYTOSKELETON	PATHWAYS_IN_CANCER	FOCAL_ADHESION	T_CELL_RECEPTOR_SIGNALING_PATHWAY	NEUROTROPHIN_SIGNALING_PATHWAY	CHEMOKINE_SIGNALING_PATHWAY	GNRH_SIGNALING_PATHWAY	OOCYTE_MEIOSIS	RENAL_CELL_CARCINOMA	FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	ENDOMETRIAL_CANCER	AXON_GUIDANCE	INSULIN_SIGNALING_PATHWAY	NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	FC_EPSILON_RI_SIGNALING_PATHWAY	LONG_TERM_POTENTIATION	B_CELL_RECEPTOR_SIGNALING_PATHWAY	TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	ADHERENS_JUNCTION	GLIOMA	CELL_CYCLE	PROSTATE_CANCER	PROGESTERONE_MEDIATED_OOCYTE_MATURATION	WNT_SIGNALING_PATHWAY	BLADDER_CANCER	VEGF_SIGNALING_PATHWAY	CHRONIC_MYELOID_LEUKEMIA	CALCIUM_SIGNALING_PATHWAY	MELANOMA	NON_SMALL_CELL_LUNG_CANCER	TIGHT_JUNCTION	VASCULAR_SMOOTH_MUSCLE_CONTRACTION	JAK_STAT_SIGNALING_PATHWAY	PANCREATIC_CANCER	ENDOCYTOSIS	APOPTOSIS	COLORECTAL_CANCER	PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	ACUTE_MYELOID_LEUKEMIA	GAP_JUNCTION	INOSITOL_PHOSPHATE_METABOLISM	MELANOGENESIS	PATHOGENIC_ESCHERICHIA_COLI_INFECTION	MTOR_SIGNALING_PATHWAY	SMALL_CELL_LUNG_CANCER	THYROID_CANCER	AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	ADIPOCYTOKINE_SIGNALING_PATHWAY	ALZHEIMERS_DISEASE	EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	SPLICEOSOME	RIBOSOME	LONG_TERM_DEPRESSION	LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	LEISHMANIA_INFECTION	P53_SIGNALING_PATHWAY	UBIQUITIN_MEDIATED_PROTEOLYSIS	PURINE_METABOLISM	CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	PYRIMIDINE_METABOLISM	FRUCTOSE_AND_MANNOSE_METABOLISM	PRION_DISEASES	TGF_BETA_SIGNALING_PATHWAY	PRIMARY_IMMUNODEFICIENCY	GLYCOLYSIS_GLUCONEOGENESIS	CYTOSOLIC_DNA_SENSING_PATHWAY	OLFACTORY_TRANSDUCTION	RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	HEMATOPOIETIC_CELL_LINEAGE	NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	RIBOFLAVIN_METABOLISM	REGULATION_OF_AUTOPHAGY	CELL_ADHESION_MOLECULES_CAMS	PARKINSONS_DISEASE	DORSO_VENTRAL_AXIS_FORMATION	HUNTINGTONS_DISEASE	NICOTINATE_AND_NICOTINAMIDE_METABOLISM
0.287007	0.304064	-0.488802	-0.316417	-0.135195	-0.290079	-0.277166	0.267590	0.000632	0.432518	-0.003885	-0.267241	-0.519597	-0.229977	-0.162844	-0.041228	-0.000897	-0.880030	-0.006622	-0.045163	-1.121052	-0.276851	-0.148687	-0.009091	-0.115220	-0.004815	-0.041809	-0.122994	-0.002672	-0.011269	-0.014710	-0.014767	-0.176291	-0.664209	0.003759	-0.889225	-0.032767	0.000418	-0.006369	0.000652	-0.028023	-0.000061	0.065228	0.000791	-0.590578	-0.078585	0.000633	-0.490018	-0.000075	0.000165	-0.770536	-0.000005	-0.351785	-1.268982	-1.370014	-0.000610	-0.161791	-0.668737	-0.000244	0.564721	-0.000039	0.000088	-0.000070	-0.585080	-0.003661	-0.000995	-0.756806	-0.786235	0.000326	0.000089	0.507099	-1.061376	-0.104516	-0.145107	-0.001109	-0.580835	-0.000711	-0.000015	0.000005	0.000441
0.043809	-0.237599	0.368754	0.522820	0.224355	0.494292	0.153069	0.158484	-0.442344	-0.500440	-0.748750	0.313410	0.154910	0.452813	0.410636	-0.006929	-0.205742	-0.124018	-0.347374	0.000416	-0.000994	0.175506	-0.251110	-0.297116	0.393430	-0.028130	-0.002259	0.423231	-0.208839	-0.400221	-0.026272	-0.336594	0.460580	-0.013294	-0.297295	0.000295	0.465760	-0.165059	-0.009579	-0.252954	0.000465	-0.004648	0.007579	-0.090163	-0.120141	-0.159555	0.000497	0.000115	-0.270135	-0.000022	0.001514	-0.000026	-0.211756	-0.654162	-0.663415	-0.485411	-0.000532	0.162575	0.000097	-0.330264	-0.000004	0.000103	-0.000032	0.002429	-0.000007	0.000084	-0.000880	-0.000009	0.121625	0.000033	-0.006386	-0.173970	1.084577	0.000183	-0.058142	0.000558	-0.001730	-0.000083	0.000017	-0.000386
-0.083132	-0.199993	0.401389	0.284734	0.368718	-0.054635	0.031255	0.018831	0.061949	-0.006243	-0.534158	0.446148	0.214881	0.354752	-0.285876	0.500383	0.387115	0.192725	0.366536	0.102395	-0.141480	-0.000279	0.377857	0.472798	0.442164	0.352515	-0.196560	0.418438	0.002705	0.416952	-0.010767	0.381816	0.446365	-0.000806	0.351687	0.000002	0.456365	0.000051	-0.004861	0.454804	0.025476	0.463654	0.122435	-0.001888	0.292624	-0.000438	-0.000554	-0.000121	-0.076178	-0.000147	-0.001280	-0.067692	-0.048820	0.000013	-0.000017	0.736439	-0.000653	-0.016223	0.000045	-0.011845	-0.000197	-0.000131	-0.000088	0.003082	-0.000321	-0.000224	0.000570	-0.000012	-0.000010	-0.000483	-0.014935	-0.000013	-0.008322	0.000839	-0.002149	-0.000612	-0.000997	-0.000044	-0.000007	-0.000817
0.357971	0.450572	-0.203205	-0.469510	-0.353746	-0.024438	-0.107850	0.001704	-0.001508	0.002702	0.367640	-0.083803	-0.192335	-0.194116	-0.023054	-0.007186	0.000050	-0.237327	-0.001462	-0.063197	-0.047221	0.205711	-0.003852	0.664832	-0.057713	0.403151	0.000117	-0.010315	0.192899	-0.000082	-0.001214	-0.002124	-0.007832	0.339624	-0.009743	-0.001739	-0.000509	0.435663	0.002680	0.000435	0.011533	0.000004	0.006888	0.003497	-0.003227	0.001643	0.001259	0.000071	-0.000177	-0.000250	0.020111	-0.000018	-0.000409	-0.000009	0.000010	-0.000679	-0.000377	-0.000004	-0.000285	-0.000106	0.777977	-0.000129	0.853809	-0.004392	-0.000000	0.000595	0.000384	0.000000	-0.000308	0.227593	-0.008097	-0.000010	-0.000668	0.001181	-0.001308	0.000502	-0.002599	0.000171	0.000008	0.909926
0.475365	0.370385	0.010163	-0.003756	-0.143090	-0.233409	0.004425	-0.514409	0.002992	0.004848	0.008445	-0.010846	0.909776	-0.012041	-0.038003	0.306030	-0.000152	0.978567	-0.035861	0.752236	0.619341	-0.001667	-0.053346	-0.372969	-0.019364	-0.017133	-0.003261	-0.002616	0.214453	-0.004864	0.000362	-0.000291	-0.000041	1.018491	-0.009249	0.001453	0.000286	-0.000634	0.001430	0.000057	0.256078	-0.000077	-0.005950	-0.000487	-0.027775	-0.000735	-0.004889	0.000010	0.000027	-0.000146	-0.001488	-0.001267	0.650239	0.000009	0.000005	-0.000845	0.000489	0.036158	-0.000052	-0.000215	0.130324	0.000033	0.097421	0.003300	0.000008	0.000142	0.000698	0.000002	0.000051	0.000381	0.024575	-0.000002	0.377291	-0.001312	-0.003238	-0.000627	0.211295	-0.000105	-0.000002	0.143039
0.019454	0.001237	-0.299228	0.062624	0.000331	0.066114	0.004549	0.614760	0.006150	-0.231496	1.449437	0.461237	-0.010126	-0.076654	-0.006347	1.007126	0.005256	-0.100249	0.015762	-0.000385	0.001724	-0.000409	-0.008776	1.275933	-0.000039	1.388953	0.001606	-0.000452	-0.075934	0.190171	-0.006935	-0.002343	0.000376	-0.000241	0.566437	0.504056	0.000143	-0.000768	0.000354	0.001391	0.011174	0.000019	1.084777	0.000445	0.002662	0.000930	0.003191	0.023674	0.000247	0.034832	1.391612	0.000002	0.006107	-0.633335	-0.000015	0.000024	0.634410	0.000011	1.387203	-0.090374	-0.000192	0.000172	-0.000162	0.456571	0.000013	0.000854	0.001685	2.008497	1.000120	-0.000173	0.581359	-0.340903	0.000003	0.500109	0.000528	0.000327	0.000468	-0.000276	-0.125395	-0.000084
0.372847	0.337654	-0.596001	0.839479	-0.083547	0.865995	-0.494478	-0.689754	0.880980	-0.215403	0.350526	-0.005407	-0.376802	-0.008511	1.013870	-0.147874	-0.000495	-0.141300	-0.001978	-0.053477	0.002207	-0.012959	0.002013	0.341233	-0.034155	0.636923	1.049544	-0.000969	0.404122	0.000045	-0.075537	-0.000276	0.000114	0.000366	1.101896	-0.002692	-0.000361	-0.040492	0.015335	-0.000245	-0.245197	0.000016	-0.001009	-0.107611	-0.185709	1.047458	-0.019448	-0.000495	-0.000023	0.000238	-0.002930	-0.000020	-0.001581	0.000016	-0.000012	-0.000648	1.109777	0.000008	0.000044	-0.000280	0.000093	-0.000123	0.000141	0.821312	-0.000019	1.163678	-0.000179	0.000001	0.267331	-0.000724	0.168835	0.000001	-0.000134	0.817630	-0.010298	-0.000629	-0.000361	0.000162	-0.005322	-0.000615
0.929507	0.408277	1.279870	0.076893	1.047554	0.784928	0.405823	-0.012343	0.232066	0.000598	-0.004027	-0.008712	0.018747	1.277610	0.003282	-0.006798	0.967362	0.026366	-0.043024	0.928500	-0.000844	1.289042	0.027334	0.399655	1.510898	0.373858	0.000275	1.339444	0.344758	-0.000047	1.570075	0.965927	1.544369	0.550685	-0.006290	0.059319	1.516517	1.484468	0.361524	-0.000974	1.690533	0.105836	0.741258	1.748098	-0.009964	0.001979	1.661276	0.000048	0.254970	0.350557	-0.002649	0.026521	1.233306	-0.000020	-0.000010	0.806105	0.000423	0.000325	0.000133	0.000056	0.000107	0.557262	0.000029	1.265205	-0.000023	-0.000323	-0.000340	-0.000008	-0.000360	-0.000299	-0.003108	0.000004	0.000297	-0.000435	1.746865	-0.000011	0.010686	0.891869	0.000016	-0.000316
0.655701	0.679324	-0.225177	0.443058	0.000355	-0.011399	-0.007653	-0.007561	-0.001252	-0.002760	-0.143951	-0.026224	-0.006082	-0.001661	-0.014403	0.003265	-0.000484	0.025305	-0.048754	0.113020	0.493207	0.885135	-0.001027	-0.002503	0.000106	-0.000732	0.974374	0.000032	0.001501	-0.000002	-0.001830	0.001464	-0.000517	-0.001141	0.006187	-0.002711	0.000265	0.000820	0.005482	-0.000407	0.401987	0.000020	0.033771	-0.000958	-0.002146	-0.001639	0.000089	0.000102	-0.000053	-0.000179	-0.001734	-0.000016	0.005981	0.000016	0.000012	0.000573	-0.000544	0.000714	0.000146	-0.000016	-0.000254	0.002029	0.000073	0.004816	-0.000006	-0.000191	0.000437	0.000005	0.848647	-0.000225	0.894459	0.000007	0.378494	0.001022	-0.000227	-0.000827	0.720485	0.001530	-0.000008	0.000247
0.606515	0.010386	-0.148226	0.395076	-0.128574	0.424706	0.572650	-0.080646	-0.001672	0.005622	-0.011438	-0.011726	0.752106	-0.002993	0.936633	0.589108	0.447812	0.598447	-0.026963	0.199622	0.015354	0.656697	-0.014559	-0.198843	-0.000493	-0.001198	0.569083	-0.000546	0.001620	-0.000042	-0.001383	-0.001588	0.000475	-0.000293	-0.004697	-0.001607	-0.000261	0.000524	-0.003479	-0.000086	1.042158	-0.000075	0.013152	0.966759	0.000966	0.839631	-0.005272	-0.000066	0.000044	-0.000212	1.158458	-0.000021	-0.003708	-0.000019	0.000011	-0.000561	0.211318	0.175642	-0.000053	-0.000089	-0.000190	-0.000240	-0.000228	0.206095	0.232463	0.204112	0.000594	-0.000001	0.000225	-0.000177	0.639784	-0.000016	0.851436	0.093129	0.801539	0.000330	0.000321	-0.000203	0.000014	-0.000172
