#MUTATION	MAPK_SIGNALING_PATHWAY	ERBB_SIGNALING_PATHWAY	REGULATION_OF_ACTIN_CYTOSKELETON	PATHWAYS_IN_CANCER	FOCAL_ADHESION	T_CELL_RECEPTOR_SIGNALING_PATHWAY	NEUROTROPHIN_SIGNALING_PATHWAY	CHEMOKINE_SIGNALING_PATHWAY	GNRH_SIGNALING_PATHWAY	OOCYTE_MEIOSIS	RENAL_CELL_CARCINOMA	FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	ENDOMETRIAL_CANCER	AXON_GUIDANCE	INSULIN_SIGNALING_PATHWAY	NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	FC_EPSILON_RI_SIGNALING_PATHWAY	LONG_TERM_POTENTIATION	B_CELL_RECEPTOR_SIGNALING_PATHWAY	TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	ADHERENS_JUNCTION	GLIOMA	CELL_CYCLE	PROSTATE_CANCER	PROGESTERONE_MEDIATED_OOCYTE_MATURATION	WNT_SIGNALING_PATHWAY	BLADDER_CANCER	VEGF_SIGNALING_PATHWAY	CHRONIC_MYELOID_LEUKEMIA	CALCIUM_SIGNALING_PATHWAY	MELANOMA	NON_SMALL_CELL_LUNG_CANCER	TIGHT_JUNCTION	VASCULAR_SMOOTH_MUSCLE_CONTRACTION	JAK_STAT_SIGNALING_PATHWAY	PANCREATIC_CANCER	ENDOCYTOSIS	APOPTOSIS	COLORECTAL_CANCER	PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	ACUTE_MYELOID_LEUKEMIA	GAP_JUNCTION	INOSITOL_PHOSPHATE_METABOLISM	MELANOGENESIS	PATHOGENIC_ESCHERICHIA_COLI_INFECTION	MTOR_SIGNALING_PATHWAY	SMALL_CELL_LUNG_CANCER	THYROID_CANCER	AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	ADIPOCYTOKINE_SIGNALING_PATHWAY	ALZHEIMERS_DISEASE	EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	SPLICEOSOME	RIBOSOME	LONG_TERM_DEPRESSION	LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	LEISHMANIA_INFECTION	P53_SIGNALING_PATHWAY	UBIQUITIN_MEDIATED_PROTEOLYSIS	PURINE_METABOLISM	CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	PYRIMIDINE_METABOLISM	FRUCTOSE_AND_MANNOSE_METABOLISM	PRION_DISEASES	TGF_BETA_SIGNALING_PATHWAY	PRIMARY_IMMUNODEFICIENCY	GLYCOLYSIS_GLUCONEOGENESIS	CYTOSOLIC_DNA_SENSING_PATHWAY	OLFACTORY_TRANSDUCTION	RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	HEMATOPOIETIC_CELL_LINEAGE	NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	RIBOFLAVIN_METABOLISM	REGULATION_OF_AUTOPHAGY	CELL_ADHESION_MOLECULES_CAMS	PARKINSONS_DISEASE	DORSO_VENTRAL_AXIS_FORMATION	HUNTINGTONS_DISEASE	NICOTINATE_AND_NICOTINAMIDE_METABOLISM
0.005379	0.203802	-0.121952	-0.159506	-0.012303	-0.031520	-0.894641	0.070402	-0.385971	0.248323	-0.404581	-0.262098	-0.311730	-0.000903	-1.195840	-0.419289	-0.453043	-0.105838	-0.552687	-0.419310	-0.416207	-0.008731	-0.711573	-0.177400	-0.001533	-0.360801	-0.238869	0.027806	-0.501159	-0.624552	-0.029266	-0.799393	0.148411	-0.030603	-0.297605	0.000047	0.129605	0.003958	-0.530042	-0.469210	-0.000850	-0.426088	0.390647	0.013771	-0.142412	-0.000021	-0.072698	-0.030170	-0.120364	-0.129780	-0.006191	-0.075432	0.000277	-0.132981	-0.698763	-0.354071	-0.000072	0.068385	-0.000003	-0.393027	0.000104	-0.120612	0.000141	-0.001100	0.000000	-0.000789	-0.017398	-0.000686	0.014492	-0.007555	0.000140	-0.145238	0.469185	-0.000089	-0.002733	-0.001978	0.000002	-0.001033	-0.090264	-0.000012
0.278747	0.276356	-0.714081	-0.501311	-0.236013	-0.688867	0.001185	0.286435	-0.053025	0.241021	0.148969	-0.008923	-0.125688	-0.216939	-0.002189	-0.027583	-0.001466	-0.845346	0.040547	0.006975	-1.273654	-0.555638	-0.082853	-0.298514	-0.222586	-0.002494	-0.004214	-0.035037	-0.000864	-0.003051	0.001789	-0.000356	0.000411	-0.002172	-0.000344	-0.697836	-0.005480	-0.002768	0.227762	0.000016	-0.305808	0.000641	-0.069556	-0.380525	-0.369176	-0.000014	-0.007015	-0.289202	0.000189	0.254575	-0.465751	0.332836	-0.000697	-0.765550	-1.455911	0.001227	-0.181257	-0.304469	-0.000120	0.564505	-0.082555	0.000456	-0.000807	-0.924395	-0.000392	-0.000602	-0.835152	-0.665678	-0.001672	-0.220601	0.511004	-1.042826	-0.032262	-0.000236	-0.006647	-0.002362	0.000007	0.001942	-0.000007	0.000007
0.286543	-0.020205	-0.052056	0.282900	0.002956	0.069384	-0.527826	-0.757404	0.236888	-0.413842	-0.029088	-0.007499	-0.539455	0.001752	0.186783	0.001009	-0.011200	-0.206884	0.000696	-0.170639	-0.001478	-0.227366	-0.005619	-0.002107	-0.002047	0.057528	0.222737	-0.014636	0.157884	-0.001840	-0.199641	-0.000812	0.002108	-0.000580	0.386983	0.000025	-0.008464	-0.046006	-0.008105	-0.000134	-0.196368	0.002833	-0.382723	-0.010302	-0.174184	0.521135	-0.004037	0.000019	-0.001882	0.000274	0.003114	-0.000043	-0.031580	0.000003	-0.000005	-0.005292	0.546334	-0.000006	0.000001	0.000164	-0.000052	-0.003086	-0.000035	0.341065	-0.000602	0.604309	-0.001713	0.000170	0.257469	0.000652	-0.000707	-0.000010	-0.001372	0.108138	-0.004220	-0.001972	-0.000030	-0.001325	0.000012	-0.000005
0.590496	0.328391	0.534136	0.652880	0.350699	0.434128	0.606886	0.420190	0.002132	-0.707983	-0.516228	0.624177	0.721266	0.559712	0.687590	-0.003690	-0.002086	0.001729	-0.003438	-0.003533	0.969234	0.469261	0.001853	-0.116493	0.703155	-0.002331	0.007750	0.735488	-0.010616	-0.000067	0.203578	0.000260	0.854421	0.000241	-0.006730	0.056030	0.959131	-0.001417	0.437549	0.000650	0.009738	0.001863	-0.037630	0.006171	0.000003	0.000008	0.188214	0.000178	-0.000162	0.000424	-0.005260	-0.005319	-0.000029	-0.000022	-0.000022	0.010418	-0.000194	0.000440	0.000006	-0.000362	0.000053	-0.002536	-0.000036	0.039593	0.000043	-0.000154	0.000228	-0.000731	0.682821	0.001344	0.902278	0.000012	0.827137	-0.000240	0.001575	0.000726	0.000001	-0.000941	-0.000021	-0.000016
0.055809	-0.088165	-0.082172	-0.017228	-0.062064	-0.006464	-0.011866	0.034669	0.010823	-0.012237	1.431410	0.136461	-0.000828	-0.198391	0.001785	0.677263	-0.003367	-0.000312	-0.002149	-0.002017	0.005552	-0.001120	-0.000516	1.308226	0.001180	1.308288	-0.000930	0.021317	-0.002767	0.007316	0.007294	-0.002225	-0.010816	-0.003548	0.061420	-0.000058	-0.005670	-0.000932	-0.008462	-0.005648	0.809925	-0.002827	0.959527	0.492710	-0.000002	-0.000004	-0.002693	0.000576	-0.002173	0.000404	1.027587	-0.000043	0.000011	-0.000018	-0.035950	-0.000700	0.449249	-0.000009	1.634295	-0.193989	-0.000196	-0.001891	-0.000293	0.994803	0.000445	-0.000101	-0.002347	2.318630	0.890992	-0.004895	0.439731	-0.357259	0.216226	1.064695	-0.009826	-0.000406	0.000010	-0.001332	-0.305358	0.000018
0.238878	-0.388417	0.186700	-0.264536	0.154645	0.007239	-0.003024	0.143993	0.338261	0.024805	-0.136758	-0.202457	-0.161920	0.294814	0.001046	0.319106	-0.575984	0.001261	-0.472838	0.006455	0.094513	-0.454421	-0.228903	0.651916	0.394082	-0.251083	0.064080	-0.573305	-0.405458	-0.014060	-0.409671	-0.409891	-0.553637	-0.002708	-0.180040	-0.000274	-0.481966	-0.004768	-0.005093	0.790981	0.009556	-0.000934	-0.044610	0.025464	0.737961	-0.000004	-0.004149	-0.000737	-0.000065	-0.305277	0.003233	0.378711	0.440691	0.000009	0.000003	-0.006157	-0.000361	0.000009	0.000013	-0.000083	0.000004	-0.002321	-0.000298	0.047390	-0.000835	0.000222	0.000551	0.000451	0.011952	-0.000648	0.001920	0.000011	-0.004993	0.042056	0.001718	-0.000427	0.006412	0.000113	0.000011	0.000004
0.507032	0.349797	0.513150	0.349492	0.376158	0.451500	0.211308	-0.034634	-0.000884	0.273248	-0.036783	0.245927	0.481658	0.689935	0.034849	0.313477	0.484590	0.298501	-0.170459	0.835082	-0.006815	0.812662	0.422312	0.019631	0.822080	0.001151	0.395930	0.586203	-0.006015	0.001431	0.635574	0.795202	0.852274	-0.001202	-0.004116	0.060496	0.841306	0.679079	-0.002576	0.000078	0.933058	0.001807	0.801870	0.842902	0.000008	-0.000014	0.920672	-0.000796	-0.000042	-0.000257	0.002546	-0.000004	0.819394	0.000007	-0.000000	0.146982	0.000076	0.398127	-0.000011	-0.000484	0.000147	0.817156	-0.000038	0.732029	0.180701	-0.000738	-0.002962	0.000294	-0.001970	-0.010534	-0.001104	-0.000014	-0.000928	0.000203	0.989556	-0.002179	1.132817	1.121153	0.000008	0.000009
-0.176102	0.175029	0.583716	0.726017	0.534125	0.329480	0.382732	0.406731	0.322057	0.412762	-0.048610	0.825520	0.550715	0.632921	0.000126	0.713656	0.622325	0.478698	0.684160	0.405980	-0.008951	-0.003774	0.783985	0.270682	0.701325	0.720720	-0.084427	0.724184	0.325443	0.791055	-0.003166	0.884109	0.787785	-0.000881	0.677518	0.261471	0.804459	-0.002767	0.001013	0.787048	0.008811	0.871848	0.514111	-0.008842	0.572568	-0.000025	0.000452	-0.000778	0.001871	-0.000113	-0.002266	-0.000003	0.000145	-0.000010	0.000014	0.915256	-0.000235	-0.000004	-0.000015	-0.000058	-0.000252	0.211053	-0.000525	-0.004154	0.000440	-0.000099	0.243371	-0.000026	0.001530	-0.000839	-0.001831	-0.000017	-0.002475	0.115144	-0.008383	0.238804	-0.000012	0.094140	0.000000	0.000000
1.782713	4.543369	3.374349	2.919544	2.467294	3.535159	4.335984	2.609202	2.417212	3.340461	3.495303	1.146825	1.457756	2.757525	4.748471	2.707796	4.203869	3.005743	4.542361	4.966714	3.028700	3.498748	1.143007	1.717031	3.064543	1.758616	4.327998	2.156655	4.871125	0.734439	4.142070	0.930718	2.082110	0.197965	2.868786	1.078021	1.610688	0.484755	3.358123	1.205055	2.033804	1.007996	2.557041	2.144019	2.105409	0.065633	0.089275	0.000528	0.677262	3.809701	0.044213	3.636040	1.451121	0.000016	0.000008	0.811698	0.005175	1.095756	0.000998	-0.000044	0.266485	-0.000018	0.016805	0.255247	0.575994	0.120027	-0.001373	-0.000795	0.000811	0.001301	0.045459	0.000012	0.186617	0.000002	-0.001049	-0.001928	0.000008	0.007728	0.000007	0.167078
0.360392	0.601753	0.490934	-0.091547	-0.068412	0.359913	0.008404	-0.001370	-0.004915	0.627164	-0.000773	-0.000269	-0.119192	0.000488	-0.002908	-0.000810	-0.010659	-0.003046	0.000013	-0.005519	0.005030	0.520535	-0.006388	0.474679	0.000411	-0.002279	0.085623	-0.014482	0.594541	-0.001206	-0.003971	-0.000690	-0.002346	0.825833	-0.003171	-0.000267	-0.010356	0.590521	-0.010724	-0.000312	-0.010512	0.000271	0.623598	-0.010856	0.000020	-0.000014	0.004631	-0.000160	0.001498	0.000360	-0.006428	0.000032	0.682738	-0.000005	0.000000	-0.003938	0.000146	0.000155	0.000001	-0.000295	-0.000106	0.001151	-0.002874	0.000540	0.000276	-0.000654	-0.001919	-0.000161	0.000081	0.095368	0.039634	-0.000012	0.041450	0.000232	0.003688	-0.002326	0.000014	-0.001901	0.000015	-0.000020
