0	2290	371.11703	0.20004	2.28290	0.20003	0.20000
1	2363	371.93308	0.36268	1.30322	0.20097	0.20005
2	2346	0.20000	0.20000	0.20000	373.20000	0.20000
3	2025	0.20000	0.20000	0.20000	373.20000	0.20000
4	2140	370.50337	0.40577	2.69082	0.20004	0.20000
5	2428	355.02668	1.05051	17.52020	0.20260	0.20002
6	2201	367.08062	0.20004	6.31930	0.20004	0.20000
7	2506	358.21047	0.40150	14.98099	0.20704	0.20000
8	2425	0.22889	124.07211	12.50322	0.26044	236.93534
9	2557	0.20000	47.90851	0.20007	0.24198	325.44944
10	2532	369.81409	0.20003	3.58576	0.20011	0.20000
11	2073	361.29795	0.28111	12.02083	0.20011	0.20000
12	2278	355.43158	2.65189	4.63987	11.07511	0.20155
13	2551	365.83771	1.26353	2.71038	3.98747	0.20090
14	2077	373.20000	0.20000	0.20000	0.20000	0.20000
15	2369	368.77353	0.59619	4.22962	0.20066	0.20000
16	1465	0.41551	0.20022	8.16290	364.92748	0.29390
17	2592	0.21193	0.20185	0.20017	356.02964	17.35642
18	2046	372.84158	0.55669	0.20075	0.20097	0.20000
19	1941	122.97578	24.12834	31.13755	193.77836	1.97997
20	2518	0.49799	0.20109	32.85513	251.76472	88.68107
21	2132	0.33848	8.39287	0.20018	260.07262	104.99585
22	2650	0.20000	0.20000	373.20000	0.20000	0.20000
23	2207	0.20000	0.20000	373.20000	0.20000	0.20000
24	2553	368.73532	0.20003	4.66464	0.20001	0.20000
25	2078	359.94946	0.48537	13.16020	0.20497	0.20000
26	2203	0.20000	0.20005	0.20006	365.35206	8.04782
27	2143	0.20000	0.20000	0.20000	373.20000	0.20000
28	2224	0.20016	0.20013	0.20023	369.67705	3.72243
29	2510	0.20039	0.20028	3.01160	361.74686	8.84086
30	2240	363.04663	0.54009	10.00910	0.20415	0.20003
31	2563	369.11204	0.54224	3.94470	0.20102	0.20001
32	2122	370.55536	0.20004	2.84458	0.20002	0.20000
33	2118	362.84022	0.28728	10.47245	0.20004	0.20000
34	1944	0.20000	373.20000	0.20000	0.20000	0.20000
35	2117	0.20017	14.98117	0.20007	307.76274	50.85586
36	2611	336.82512	0.39441	36.37678	0.20308	0.20061
37	2184	359.06323	0.57051	13.96390	0.20236	0.20000
38	2354	364.83319	1.45928	7.30700	0.20053	0.20000
39	2169	0.20010	0.20010	0.20008	369.57489	3.82483
40	2283	0.20036	0.20066	0.20016	340.36645	33.03236
41	2620	0.20000	0.20000	0.20000	373.20000	0.20000
42	1998	0.20000	0.20000	0.20000	373.20000	0.20000
