0	2290	0.992	0.001	0.006	0.001	0.001
1	2363	0.994	0.001	0.003	0.001	0.001
2	2346	0.001	0.001	0.001	0.998	0.001
3	2025	0.001	0.001	0.001	0.998	0.001
4	2140	0.991	0.001	0.007	0.001	0.001
5	2428	0.949	0.003	0.047	0.001	0.001
6	2201	0.981	0.001	0.017	0.001	0.001
7	2506	0.958	0.001	0.040	0.001	0.001
8	2425	0.001	0.332	0.033	0.001	0.634
9	2557	0.001	0.128	0.001	0.001	0.870
10	2532	0.989	0.001	0.010	0.001	0.001
11	2073	0.966	0.001	0.032	0.001	0.001
12	2278	0.950	0.007	0.012	0.030	0.001
13	2551	0.978	0.003	0.007	0.011	0.001
14	2077	0.998	0.001	0.001	0.001	0.001
15	2369	0.986	0.002	0.011	0.001	0.001
16	1465	0.001	0.001	0.022	0.976	0.001
17	2592	0.001	0.001	0.001	0.952	0.046
18	2046	0.997	0.001	0.001	0.001	0.001
19	1941	0.329	0.065	0.083	0.518	0.005
20	2518	0.001	0.001	0.088	0.673	0.237
21	2132	0.001	0.022	0.001	0.695	0.281
22	2650	0.001	0.001	0.998	0.001	0.001
23	2207	0.001	0.001	0.998	0.001	0.001
24	2553	0.986	0.001	0.012	0.001	0.001
25	2078	0.962	0.001	0.035	0.001	0.001
26	2203	0.001	0.001	0.001	0.977	0.022
27	2143	0.001	0.001	0.001	0.998	0.001
28	2224	0.001	0.001	0.001	0.988	0.010
29	2510	0.001	0.001	0.008	0.967	0.024
30	2240	0.971	0.001	0.027	0.001	0.001
31	2563	0.987	0.001	0.011	0.001	0.001
32	2122	0.991	0.001	0.008	0.001	0.001
33	2118	0.970	0.001	0.028	0.001	0.001
34	1944	0.001	0.998	0.001	0.001	0.001
35	2117	0.001	0.040	0.001	0.823	0.136
36	2611	0.901	0.001	0.097	0.001	0.001
37	2184	0.960	0.002	0.037	0.001	0.001
38	2354	0.975	0.004	0.020	0.001	0.001
39	2169	0.001	0.001	0.001	0.988	0.010
40	2283	0.001	0.001	0.001	0.910	0.088
41	2620	0.001	0.001	0.001	0.998	0.001
42	1998	0.001	0.001	0.001	0.998	0.001
43	2654	0.991	0.001	0.007	0.001	0.001
44	2646	0.930	0.011	0.057	0.001	0.001
45	2228	0.001	0.001	0.001	0.001	0.998
