0	2290	0.001	0.998	0.001	0.001
1	2363	0.001	0.998	0.001	0.001
2	2346	0.001	0.001	0.001	0.998
3	2025	0.001	0.001	0.001	0.998
4	2140	0.001	0.998	0.001	0.001
5	2428	0.001	0.998	0.001	0.001
6	2201	0.001	0.998	0.001	0.001
7	2506	0.001	0.998	0.001	0.001
8	2425	0.001	0.001	0.001	0.998
9	2557	0.001	0.001	0.001	0.998
10	2532	0.001	0.998	0.001	0.001
11	2073	0.001	0.998	0.001	0.001
12	2278	0.001	0.969	0.029	0.001
13	2551	0.001	0.985	0.014	0.001
14	2077	0.001	0.998	0.001	0.001
15	2369	0.001	0.998	0.001	0.001
16	1465	0.001	0.001	0.998	0.001
17	2592	0.001	0.001	0.998	0.001
18	2046	0.001	0.998	0.001	0.001
19	1941	0.001	0.486	0.513	0.001
20	2518	0.001	0.082	0.873	0.045
21	2132	0.001	0.001	0.998	0.001
22	2650	0.998	0.001	0.001	0.001
23	2207	0.998	0.001	0.001	0.001
24	2553	0.005	0.994	0.001	0.001
25	2078	0.001	0.998	0.001	0.001
26	2203	0.001	0.001	0.945	0.054
27	2143	0.001	0.001	0.836	0.163
28	2224	0.001	0.001	0.998	0.001
29	2510	0.001	0.001	0.998	0.001
30	2240	0.001	0.998	0.001	0.001
31	2563	0.001	0.998	0.001	0.001
32	2122	0.001	0.998	0.001	0.001
33	2118	0.001	0.998	0.001	0.001
34	1944	0.001	0.001	0.001	0.998
35	2117	0.033	0.001	0.847	0.120
36	2611	0.001	0.998	0.001	0.001
37	2184	0.001	0.998	0.001	0.001
38	2354	0.001	0.998	0.001	0.001
39	2169	0.001	0.001	0.998	0.001
40	2283	0.014	0.001	0.972	0.014
41	2620	0.001	0.001	0.001	0.998
42	1998	0.001	0.001	0.001	0.998
43	2654	0.001	0.998	0.001	0.001
44	2646	0.001	0.993	0.005	0.001
45	2228	0.998	0.001	0.001	0.001
46	2082	0.998	0.001	0.001	0.001
47	1979	0.001	0.998	0.001	0.001
48	2484	0.001	0.998	0.001	0.001
49	2257	0.001	0.998	0.001	0.001
50	2005	0.001	0.998	0.001	0.001
51	2560	0.001	0.976	0.022	0.001
52	1962	0.001	0.998	0.001	0.001
53	2206	0.001	0.998	0.001	0.001
54	2520	0.001	0.998	0.001	0.001
55	2104	0.001	0.998	0.001	0.001
56	2602	0.001	0.998	0.001	0.001
57	2521	0.001	0.998	0.001	0.001
58	2233	0.001	0.942	0.047	0.010
59	2200	0.001	0.998	0.001	0.001
60	2294	0.001	0.001	0.989	0.009
61	1981	0.001	0.001	0.998	0.001
62	2187	0.001	0.001	0.998	0.001
63	1916	0.001	0.001	0.985	0.014
64	1945	0.001	0.001	0.991	0.008
65	1959	0.001	0.001	0.998	0.001
66	1971	0.001	0.998	0.001	0.001
67	2436	0.001	0.001	0.998	0.001
68	2042	0.001	0.001	0.998	0.001
69	2084	0.001	0.998	0.001	0.001
70	2624	0.002	0.996	0.001	0.001
71	2364	0.001	0.001	0.001	0.998
72	1991	0.001	0.001	0.001	0.998
73	2110	0.001	0.001	0.998	0.001
74	2029	0.001	0.001	0.596	0.402
75	2607	0.001	0.998	0.001	0.001
76	2649	0.001	0.001	0.998	0.001
77	2087	0.001	0.001	0.998	0.001
78	2188	0.001	0.998	0.001	0.001
79	2477	0.001	0.998	0.001	0.001
80	2386	0.001	0.998	0.001	0.001
81	2543	0.001	0.543	0.456	0.001
82	2604	0.006	0.993	0.001	0.001
83	2561	0.001	0.998	0.001	0.001
84	2433	0.007	0.992	0.001	0.001
85	2496	0.001	0.001	0.998	0.001
86	2153	0.001	0.001	0.998	0.001
87	2536	0.001	0.964	0.035	0.001
88	2482	0.001	0.998	0.001	0.001
89	2512	0.001	0.133	0.842	0.024
90	2010	0.001	0.001	0.998	0.001
91	2103	0.001	0.998	0.001	0.001
92	2253	0.001	0.998	0.001	0.001
93	2500	0.001	0.998	0.001	0.001
94	2063	0.001	0.990	0.008	0.001
95	2509	0.001	0.001	0.998	0.001
96	2399	0.005	0.001	0.975	0.019
97	2150	0.001	0.998	0.001	0.001
98	2030	0.001	0.998	0.001	0.001
99	2374	0.001	0.998	0.001	0.001
100	1986	0.001	0.998	0.001	0.001
101	2630	0.001	0.998	0.001	0.001
102	2376	0.006	0.993	0.001	0.001
103	2326	0.001	0.998	0.001	0.001
104	2172	0.001	0.998	0.001	0.001
105	2133	0.022	0.001	0.781	0.196
106	2296	0.001	0.001	0.001	0.998
107	2626	0.001	0.001	0.001	0.998
108	2097	0.001	0.001	0.001	0.998
109	2093	0.005	0.994	0.001	0.001
110	2391	0.001	0.998	0.001	0.001
111	2275	0.001	0.998	0.001	0.001
112	1984	0.001	0.998	0.001	0.001
113	2347	0.001	0.621	0.378	0.001
114	2550	0.013	0.986	0.001	0.001
115	2047	0.151	0.001	0.696	0.153
116	1932	0.001	0.001	0.998	0.001
117	2655	0.001	0.998	0.001	0.001
118	1994	0.001	0.001	0.998	0.001
119	2292	0.001	0.001	0.985	0.014
120	2109	0.001	0.998	0.001	0.001
121	2040	0.001	0.984	0.015	0.001
122	2086	0.001	0.998	0.001	0.001
123	2460	0.001	0.998	0.001	0.001
124	2597	0.001	0.001	0.998	0.001
125	2282	0.001	0.001	0.998	0.001
126	2511	0.001	0.001	0.991	0.008
127	2598	0.001	0.001	0.998	0.001
128	2638	0.001	0.998	0.001	0.001
129	2390	0.001	0.001	0.998	0.001
130	2096	0.001	0.001	0.945	0.054
131	2218	0.001	0.998	0.001	0.001
132	1917	0.001	0.998	0.001	0.001
133	2353	0.001	0.998	0.001	0.001
134	2625	0.001	0.998	0.001	0.001
135	2194	0.001	0.001	0.998	0.001
136	2289	0.035	0.001	0.789	0.175
137	2323	0.001	0.998	0.001	0.001
138	2410	0.001	0.998	0.001	0.001
139	2631	0.001	0.998	0.001	0.001
140	2111	0.001	0.001	0.998	0.001
141	2062	0.001	0.075	0.921	0.003
142	2059	0.001	0.998	0.001	0.001
143	1938	0.001	0.998	0.001	0.001
144	2060	0.001	0.964	0.023	0.012
145	1939	0.001	0.001	0.998	0.001
146	2264	0.001	0.001	0.998	0.001
147	2574	0.001	0.998	0.001	0.001
148	2579	0.001	0.998	0.001	0.001
149	2419	0.001	0.001	0.837	0.162
150	2491	0.001	0.001	0.989	0.009
151	2468	0.001	0.809	0.183	0.006
152	2615	0.001	0.998	0.001	0.001
153	2507	0.001	0.998	0.001	0.001
154	2564	0.001	0.998	0.001	0.001
155	2420	0.001	0.001	0.998	0.001
156	1929	0.001	0.998	0.001	0.001
157	2154	0.001	0.998	0.001	0.001
158	1925	0.001	0.989	0.009	0.001
159	1940	0.001	0.001	0.998	0.001
160	2329	0.001	0.990	0.009	0.001
161	2469	0.001	0.998	0.001	0.001
162	2229	0.001	0.993	0.006	0.001
163	2552	0.001	0.998	0.001	0.001
164	1993	0.006	0.993	0.001	0.001
165	2032	0.001	0.001	0.984	0.015
166	2485	0.001	0.998	0.001	0.001
167	2395	0.001	0.998	0.001	0.001
168	2339	0.001	0.998	0.001	0.001
169	1989	0.001	0.998	0.001	0.001
170	2243	0.001	0.001	0.998	0.001
171	2434	0.001	0.001	0.987	0.012
172	2126	0.991	0.001	0.002	0.006
173	2408	0.001	0.998	0.001	0.001
174	2121	0.001	0.998	0.001	0.001
175	2453	0.216	0.001	0.269	0.514
176	2214	0.095	0.028	0.048	0.829
177	2633	0.001	0.001	0.001	0.998
178	2526	0.010	0.983	0.007	0.001
179	2430	0.001	0.998	0.001	0.001
180	1964	0.229	0.001	0.315	0.455
181	2064	0.001	0.998	0.001	0.001
182	2407	0.001	0.998	0.001	0.001
183	2317	0.998	0.001	0.001	0.001
184	2412	0.998	0.001	0.001	0.001
185	2406	0.001	0.001	0.001	0.998
186	2112	0.001	0.998	0.001	0.001
187	2404	0.001	0.998	0.001	0.001
188	2135	0.001	0.001	0.998	0.001
189	2498	0.001	0.001	0.906	0.093
190	2302	0.001	0.001	0.979	0.020
191	2629	0.001	0.001	0.990	0.009
192	2351	0.001	0.001	0.989	0.010
193	2212	0.001	0.998	0.001	0.001
194	2123	0.001	0.998	0.001	0.001
195	2053	0.001	0.001	0.998	0.001
196	2254	0.001	0.001	0.963	0.035
197	2271	0.001	0.998	0.001	0.001
198	2199	0.013	0.001	0.980	0.007
199	2054	0.001	0.001	0.998	0.001
200	2018	0.001	0.001	0.001	0.998
201	2636	0.001	0.001	0.001	0.998
202	2371	0.998	0.001	0.001	0.001
203	2166	0.998	0.001	0.001	0.001
204	2033	0.001	0.998	0.001	0.001
205	2608	0.001	0.001	0.987	0.012
206	2567	0.001	0.001	0.998	0.001
207	2338	0.001	0.001	0.998	0.001
208	1954	0.001	0.001	0.741	0.258
209	2555	0.001	0.001	0.998	0.001
210	2138	0.001	0.001	0.990	0.008
211	2357	0.998	0.001	0.001	0.001
212	2152	0.998	0.001	0.001	0.001
213	2372	0.001	0.001	0.998	0.001
214	2189	0.001	0.245	0.753	0.001
215	2590	0.001	0.998	0.001	0.001
216	2359	0.001	0.998	0.001	0.001
217	2020	0.001	0.998	0.001	0.001
