0	2290	0.08333	0.08333	371.03208	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333	2.13459	0.08333	0.08333
1	2363	0.08333	3.09592	368.54174	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333	1.61234	0.08333	0.08333
2	2346	0.08333	0.08333	0.08333	0.08333	0.08333	373.08333	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333
3	2025	0.08333	0.08333	0.08333	0.08333	0.08333	373.08333	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333
4	2140	0.08333	3.43735	368.56572	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333	1.24693	0.08333	0.08333
5	2428	0.08334	12.01654	357.04566	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333	4.18780	0.08333	0.08333
6	2201	0.08333	5.43229	367.02192	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333	0.79578	0.08333	0.08333
7	2506	0.08337	9.43798	360.67100	0.08333	0.08334	0.08333	0.08333	3.14098	0.08333	0.08333	0.08333	0.08333
8	2425	0.08336	0.08333	0.08337	77.36189	0.08333	0.08333	295.80471	0.08333	0.08334	0.08333	0.08333	0.08333
9	2557	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333	373.08333	0.08333	0.08333	0.08333	0.08333	0.08333
10	2532	0.08333	3.68560	365.90293	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333	3.66147	0.08333	0.08333
11	2073	0.08333	4.51816	365.25157	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333	3.48027	0.08333	0.08333
12	2278	0.08338	2.28359	355.67376	0.08333	7.03412	0.08333	6.15904	0.08333	0.08333	2.26611	0.08333	0.08333
13	2551	0.08337	2.49002	365.91322	0.08333	4.84673	0.08333	0.08333	0.08333	0.08334	0.08333	0.08333	0.08333
14	2077	0.08333	0.08333	373.08333	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333
15	2369	0.08333	2.25462	367.31993	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333	3.67546	0.08333	0.08333
16	1465	335.26497	0.08334	0.08342	4.28929	20.65822	0.08333	0.08333	0.08333	13.12076	0.08333	0.08333	0.08333
17	2592	291.40167	0.08333	0.08335	9.94893	33.56358	0.08333	0.08333	0.08333	38.41914	0.08333	0.08333	0.08333
18	2046	0.08333	0.08333	373.08333	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333	0.08333
19	1941	160.57859	3.70737	175.02363	6.36696	18.94441	0.08333	0.08333	1.77905	7.18251	0.08414	0.08333	0.08333
20	2518	286.79179	25.60546	0.08339	0.08333	0.08333	0.08333	13.59698	0.08333	47.33905	0.08333	0.08333	0.08333
21	2132	250.64627	0.08333	0.08334	0.08333	0.08333	0.08333	0.08333	0.08333	122.52039	0.08333	0.08333	0.08333
