0	2290	0.07143	0.07143	0.07143	0.07143	373.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143
1	2363	0.07143	0.07143	0.07143	0.07143	373.06425	0.07143	0.07861	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143
2	2346	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	373.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143
3	2025	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	373.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143
4	2140	0.07143	0.07143	0.07143	2.43434	368.57684	0.07143	2.20310	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143
5	2428	0.07143	0.07143	0.07143	10.33613	359.09459	0.07143	1.80817	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	2.04682
6	2201	0.07143	0.07143	0.07143	4.10471	369.03787	0.07143	0.07171	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143
7	2506	0.07143	0.07143	0.07143	12.49320	360.64965	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143
8	2425	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	373.07143	0.07143	0.07143	0.07143	0.07143
9	2557	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	373.07143	0.07143	0.07143	0.07143	0.07143
10	2532	0.07143	0.07143	0.07143	3.66070	369.48215	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143
11	2073	0.07143	0.07143	0.07143	3.98913	369.15311	0.07143	0.07205	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143
12	2278	0.07143	0.07143	0.07143	2.26404	357.83956	0.07143	0.07143	0.07143	0.07144	2.51857	0.07143	10.66353	0.07143	0.07143
13	2551	0.07143	0.07143	0.07143	2.47056	365.90453	0.07143	0.07144	0.07143	0.07144	0.07143	0.07143	4.83916	0.07143	0.07143
14	2077	0.07143	0.07143	0.07143	0.07143	373.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143
15	2369	0.07143	0.07143	0.07143	1.99473	367.33758	0.07143	0.07176	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	3.88164
16	1465	0.07143	23.92539	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	332.73768	0.07143	0.07143	16.55121	0.07143	0.07143
17	2592	0.07143	27.73611	0.07143	0.07143	0.07143	29.39719	0.07143	0.07143	287.24079	0.07143	0.07143	25.80124	3.18182	0.07143
18	2046	0.07143	0.07143	0.07143	0.07143	373.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143
19	1941	0.07143	12.94966	0.07143	1.81507	176.17061	0.07143	0.07322	0.07143	167.63317	0.07143	0.07143	11.34587	1.81257	1.77125
20	2518	0.07143	298.20749	0.07143	24.60561	0.07144	50.40118	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143
21	2132	0.07143	210.00896	0.07143	0.07143	0.07143	163.13390	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143	0.07143
