0	2290	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.992	0.000	0.000	0.000	0.000
1	2363	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.979	0.000	0.000	0.000	0.006
2	2346	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.968	0.000	0.000	0.000
3	2025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.962	0.000	0.000	0.000
4	2140	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.985	0.000	0.000	0.000	0.006
5	2428	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.960	0.000	0.000	0.000	0.000
6	2201	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.014	0.000	0.000	0.000	0.976	0.000	0.000	0.000	0.000
7	2506	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.008	0.000	0.000	0.031	0.000	0.000	0.000	0.948	0.000	0.000	0.000	0.000
8	2425	0.000	0.000	0.000	0.000	0.000	0.000	0.924	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
9	2557	0.000	0.000	0.000	0.000	0.000	0.000	0.997	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10	2532	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.988	0.000	0.000	0.000	0.000
11	2073	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.971	0.000	0.000	0.000	0.005
12	2278	0.000	0.000	0.000	0.006	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.008	0.000	0.000	0.000	0.945	0.000	0.000	0.024	0.000
13	2551	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.000	0.000	0.966	0.000	0.000	0.000	0.000
14	2077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.997	0.000	0.000	0.000	0.000
15	2369	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.972	0.000	0.000	0.000	0.005
16	1465	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.078	0.000	0.000	0.000	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.028	0.000	0.864	0.000	0.000	0.000	0.000	0.000
17	2592	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.183	0.000	0.027	0.000	0.000	0.000	0.018	0.000	0.018	0.000	0.009	0.000	0.000	0.018	0.000	0.725	0.000	0.000	0.000	0.000	0.000
18	2046	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.981	0.000	0.000	0.000	0.000
19	1941	0.000	0.457	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.436	0.000	0.000	0.000	0.042	0.000
20	2518	0.000	0.000	0.000	0.000	0.000	0.000	0.193	0.000	0.437	0.000	0.101	0.000	0.000	0.000	0.000	0.000	0.143	0.000	0.000	0.000	0.070	0.000	0.000	0.000	0.000	0.000	0.000	0.054	0.000
