0	2290	0.11111	0.11111	0.11111	0.11112	358.18600	0.11111	12.93428	0.11117	2.21298
1	2363	0.11111	0.11111	0.11111	0.11123	363.87905	0.11113	4.63385	2.40699	2.52442
2	2346	373.11111	0.11111	0.11111	0.11111	0.11111	0.11111	0.11111	0.11111	0.11111
3	2025	373.11111	0.11111	0.11111	0.11111	0.11111	0.11111	0.11111	0.11111	0.11111
4	2140	0.11111	0.11111	0.11111	0.11113	361.42323	0.11111	9.51992	2.39016	0.11111
5	2428	0.11111	0.11111	0.11111	0.11121	340.65357	0.11113	13.99590	13.49078	5.30409
6	2201	0.11111	0.11111	0.11111	0.11112	352.24287	0.11111	16.77480	4.31371	0.11305
7	2506	0.11111	0.11111	0.11111	0.11113	0.11268	0.11111	360.40388	12.81675	0.11112
8	2425	0.11111	11.76168	361.45937	0.11155	0.11111	0.11123	0.11170	0.11112	0.11113
9	2557	0.11111	15.38414	357.83755	0.11147	0.11111	0.11128	0.11111	0.11111	0.11111
10	2532	0.11111	0.11111	0.11111	0.11112	369.49645	0.11111	0.11947	3.71740	0.11111
11	2073	0.11111	0.11111	0.11111	0.11112	345.06180	0.11111	18.03048	8.38485	1.96731
12	2278	0.11111	0.11111	0.11117	11.50129	337.05384	0.11113	22.51352	2.37573	0.11111
13	2551	0.11111	0.11111	0.11111	6.96448	346.00654	0.11113	17.02075	0.11124	3.45253
14	2077	0.11111	0.11111	0.11111	0.11111	369.93413	0.11111	3.28809	0.11111	0.11111
15	2369	0.11111	0.11111	0.11111	0.11118	345.24821	0.11112	22.06919	2.09669	4.03027
16	1465	0.11111	0.11111	0.11111	350.02548	0.11199	23.19574	0.11116	0.11118	0.11111
17	2592	0.11111	0.11111	0.11112	319.13849	0.11132	54.08350	0.11113	0.11111	0.11112
18	2046	0.11111	0.11111	0.11111	0.11120	350.49895	0.11112	19.57775	0.11111	3.25653
19	1941	0.11111	0.11111	0.11112	186.43479	0.12986	17.58722	0.11153	0.11124	169.29200
20	2518	0.11111	0.11111	20.63448	0.11141	0.11276	334.92843	0.11120	17.76835	0.11114
21	2132	0.11111	0.11111	0.11111	0.11111	0.11111	373.11111	0.11111	0.11111	0.11111
22	2650	0.11111	0.11111	0.11111	373.11111	0.11111	0.11111	0.11111	0.11111	0.11111
23	2207	0.11111	0.11111	0.11111	301.42283	0.11264	0.11111	0.11122	71.79771	0.11115
24	2553	0.11111	0.11111	0.11111	0.11139	352.61586	0.11111	16.05191	4.66527	0.11111
25	2078	0.11111	0.11111	0.11111	0.11121	340.62314	0.11112	21.09532	8.63159	3.09430
26	2203	0.11116	0.11111	39.37031	333.85177	0.11111	0.11120	0.11111	0.11111	0.11111
27	2143	60.17126	0.11111	15.36539	297.79591	0.11112	0.11188	0.11111	0.11111	0.11111
28	2224	0.11111	0.11111	6.92181	336.08690	0.11111	30.32461	0.11111	0.11111	0.11112
29	2510	0.11111	0.11111	0.11112	327.71789	0.11111	45.50431	0.11112	0.11111	0.11111
30	2240	0.11111	0.11111	0.11111	0.11127	347.89841	0.11113	13.75472	9.31330	2.47783
