0	2290	0.14286	0.14286	0.14286	373.12098	0.14286	0.14549	0.16209
1	2363	0.14286	0.14286	0.14289	370.85972	0.14295	2.42547	0.14326
2	2346	0.14286	373.14286	0.14286	0.14286	0.14286	0.14286	0.14286
3	2025	0.14286	373.14286	0.14286	0.14286	0.14286	0.14286	0.14286
4	2140	0.14286	0.14286	0.14286	370.85825	0.14286	2.41664	0.15367
5	2428	0.14286	0.14286	0.14288	359.02590	0.14322	14.25410	0.14818
6	2201	0.14286	0.14286	0.14286	369.02952	0.14286	3.89109	0.50796
7	2506	0.14286	0.14286	0.14287	359.96599	0.14344	9.61087	3.85111
8	2425	0.14289	350.39144	0.14417	0.15004	0.15474	0.14299	22.87373
9	2557	0.14303	183.08853	17.30955	0.14286	173.03031	0.14286	0.14286
10	2532	0.14286	0.14286	0.14289	369.51910	0.14286	3.75654	0.15290
11	2073	0.14286	0.14286	0.14287	365.15679	0.14288	6.86284	1.40890
12	2278	0.14286	0.14296	0.14289	359.01513	11.67637	2.35863	0.52116
13	2551	0.14288	0.14289	4.88213	365.96999	0.15209	1.68567	1.02434
14	2077	0.14286	0.14286	0.14286	373.12890	0.14286	0.14287	0.15680
15	2369	0.14286	0.14286	0.14286	371.13695	0.14288	2.08692	0.20468
16	1465	0.14286	0.14286	17.37703	0.17280	355.87740	0.14381	0.14324
17	2592	0.14286	0.14290	43.06665	0.14490	330.21693	0.14288	0.14288
18	2046	0.14286	0.14286	0.14286	373.10603	0.14287	0.14289	0.17964
19	1941	0.14286	0.14294	7.84418	176.40360	185.69076	3.56593	0.20972
20	2518	0.14286	0.14298	104.05981	0.15581	247.53617	21.81942	0.14295
21	2132	0.14286	0.14286	373.14286	0.14286	0.14286	0.14286	0.14286
22	2650	0.14286	0.14286	0.14286	0.14286	0.14286	0.14286	373.14286
23	2207	0.14286	0.14286	0.14286	0.14286	0.14286	0.14286	373.14286
24	2553	0.14286	0.14286	0.14286	368.61633	0.14286	2.36560	2.44664
25	2078	0.14286	0.14286	0.14290	363.64570	0.14450	7.49802	2.28317
26	2203	0.14286	11.91503	0.14291	0.14286	361.37063	0.14286	0.14286
27	2143	0.14286	60.44683	0.14291	0.14294	312.83875	0.14286	0.14286
28	2224	0.14286	0.14293	16.18566	0.14288	357.09992	0.14286	0.14288
29	2510	0.14286	0.14292	31.04840	0.14291	339.48559	0.14286	2.89446
30	2240	0.14286	0.14286	0.14290	363.58702	0.14340	9.62357	0.21740
31	2563	0.14286	0.14286	0.14287	369.65947	0.14287	3.62611	0.14296
32	2122	0.14286	0.14286	0.14286	373.14284	0.14286	0.14286	0.14287
33	2118	0.14286	0.14286	0.14286	366.94667	0.14286	6.28877	0.19312
34	1944	0.14286	373.14286	0.14286	0.14286	0.14286	0.14286	0.14286
35	2117	13.63610	27.85876	21.53278	0.14288	310.54377	0.14286	0.14286
36	2611	0.14286	0.14286	0.14306	341.29839	0.14347	31.60132	0.52804
37	2184	0.14286	0.14286	0.14287	360.58874	0.14314	12.66466	0.17488
38	2354	0.14286	0.14286	0.14286	368.79216	0.14287	4.33860	0.29780
39	2169	0.14286	0.14287	7.91820	0.14287	365.36748	0.14286	0.14286
40	2283	11.92428	2.61343	34.75261	0.14290	324.28105	0.14286	0.14287
41	2620	0.14286	373.14286	0.14286	0.14286	0.14286	0.14286	0.14286
42	1998	0.14286	373.14286	0.14286	0.14286	0.14286	0.14286	0.14286
43	2654	0.14286	0.14286	0.14286	373.14285	0.14286	0.14286	0.14286
44	2646	0.14286	0.14286	0.14290	358.56703	0.14342	14.71707	0.14386
45	2228	373.14286	0.14286	0.14286	0.14286	0.14286	0.14286	0.14286
46	2082	373.14286	0.14286	0.14286	0.14286	0.14286	0.14286	0.14286
47	1979	0.14286	0.14286	0.14286	368.70418	0.14287	4.57144	0.15294
48	2484	0.14286	0.14286	0.14286	373.14285	0.14286	0.14286	0.14286
49	2257	0.14286	0.14286	0.14286	365.67793	0.14287	7.54493	0.20569
50	2005	0.14286	0.14286	0.14286	373.13312	0.14287	0.14287	0.15256
51	2560	0.14286	0.14300	3.82599	354.26272	10.28215	1.33270	4.01059
52	1962	0.14286	0.14286	0.14287	369.04820	0.14290	4.22278	0.15753
53	2206	0.14286	0.14286	0.14286	363.91878	0.14287	9.29989	0.20989
54	2520	0.14286	0.14286	0.14291	366.06563	0.14403	7.12897	0.23276
55	2104	0.14286	0.14286	0.14286	370.98939	0.14286	2.28883	0.15034
56	2602	0.14286	0.14286	0.14335	359.46934	0.14365	13.75455	0.20339
57	2521	0.14286	0.14286	0.14286	373.11509	0.14290	0.14297	0.17048
58	2233	0.14286	1.93390	0.14291	347.44098	19.23308	4.93172	0.17455
59	2200	0.14286	0.14286	0.14286	364.31198	0.14286	8.95537	0.16122
60	2294	0.14286	0.14289	76.90899	0.14286	296.37669	0.14286	0.14286
61	1981	0.14286	0.14286	373.14286	0.14286	0.14286	0.14286	0.14286
62	2187	0.14286	0.14291	8.51294	0.14288	364.77269	0.14286	0.14286
63	1916	0.14286	0.14316	39.75355	0.14286	333.53185	0.14287	0.14286
64	1945	0.14286	0.14290	27.13454	0.14288	346.15110	0.14286	0.14286
65	1959	0.14286	0.14287	82.23650	0.14674	291.04521	0.14295	0.14287
66	1971	0.14286	0.14286	0.14286	368.71183	0.14291	4.54261	0.17407
67	2436	0.14286	0.14287	4.63358	0.14289	368.65208	0.14286	0.14286
68	2042	0.14286	0.14286	0.14286	0.14286	373.14286	0.14286	0.14286
69	2084	0.14286	0.14293	0.14344	336.99334	0.14312	35.88471	0.54961
70	2624	0.14287	4.13166	0.14286	365.05562	0.14286	4.08433	0.29980
71	2364	0.14286	373.14286	0.14286	0.14286	0.14286	0.14286	0.14286
72	1991	0.14286	373.14286	0.14286	0.14286	0.14286	0.14286	0.14286
