0	2290	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	368.93765	0.05882	0.05882	2.10825	0.05882	2.13057	0.05882	0.05882
1	2363	0.05882	0.05882	0.05882	2.31092	0.05882	0.05882	0.05882	2.19935	0.05882	366.28883	2.43620	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882
2	2346	373.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882
3	2025	373.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882
4	2140	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	2.13462	0.05882	368.56917	2.47269	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882
5	2428	0.05882	0.05882	0.05882	0.05883	2.03337	0.05882	0.05882	4.89890	0.05882	347.08528	5.04833	0.05882	0.05882	0.05882	14.22823	0.05882	0.05882
6	2201	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	2.19427	0.05882	360.94407	0.05882	0.05882	3.94132	0.05882	6.15564	0.05882	0.05882
7	2506	0.05882	0.05882	0.05882	3.76526	0.05882	0.05882	0.05882	0.05882	0.05882	354.57873	11.92026	0.05882	2.97104	0.05882	0.05882	0.05882	0.05882
8	2425	0.05882	357.33141	0.05882	0.05882	0.05882	15.73856	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.10649	0.05882
9	2557	0.05882	373.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882
10	2532	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	0.05882	3.62470	0.05882	365.87616	0.05882	0.05882	0.05882	0.05882	3.67561	0.05882	0.05882
