0	2290	0.10000	373.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000
1	2363	0.10001	370.82034	2.37966	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000
2	2346	0.10000	0.10000	0.10000	0.10000	373.10000	0.10000	0.10000	0.10000	0.10000	0.10000
3	2025	0.10000	0.10000	0.10000	0.10000	373.10000	0.10000	0.10000	0.10000	0.10000	0.10000
4	2140	0.10000	370.83166	2.36834	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000
5	2428	0.10002	359.02970	14.17028	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000
6	2201	0.10000	369.04500	4.15500	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000
7	2506	0.10026	360.66500	9.47640	0.10000	0.10000	3.15830	0.10000	0.10004	0.10000	0.10000
8	2425	0.10009	0.10006	0.10000	0.10000	0.10000	0.10000	362.44269	0.10002	10.75715	0.10000
9	2557	0.10029	0.10000	0.10000	0.10000	0.10000	0.10000	358.52595	0.10005	0.10000	14.67371
10	2532	0.10000	369.49054	3.70946	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000
11	2073	0.10000	365.22387	7.97613	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000
12	2278	0.10169	357.85612	2.30379	0.10000	0.10001	0.10000	13.13832	0.10007	0.10000	0.10000
13	2551	0.10471	365.93023	2.51132	0.10000	0.10001	0.10000	4.85324	0.10047	0.10000	0.10001
14	2077	0.10000	373.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000
15	2369	0.10019	369.26253	2.03343	0.10000	0.10000	2.00384	0.10000	0.10001	0.10000	0.10000
16	1465	343.79327	0.10291	0.10018	0.10000	0.10000	0.10000	9.29439	20.20924	0.10001	0.10000
17	2592	319.75016	0.10010	0.10000	0.10000	0.10000	0.10000	6.67347	46.87626	0.10000	0.10000
18	2046	0.10000	373.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000
19	1941	180.15193	176.68590	3.56408	0.10000	0.10000	0.10000	2.05251	11.04557	0.10000	0.10000
20	2518	296.59491	0.10042	31.37016	0.10000	0.10000	0.10000	9.57685	35.85766	0.10000	0.10000
21	2132	251.95339	0.10046	0.10000	0.10000	0.10000	0.10000	12.77179	108.57436	0.10000	0.10000
22	2650	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000	0.10000	373.10000	0.10000
23	2207	0.10001	0.10020	51.36606	0.10000	0.10000	0.10000	0.10000	0.10000	321.83373	0.10000
24	2553	0.10000	368.73718	0.10016	0.10000	0.10000	2.28099	0.10000	0.10000	2.28167	0.10000
25	2078	0.10027	363.77366	7.49977	0.10000	0.10000	2.02626	0.10000	0.10004	0.10000	0.10000
26	2203	369.25640	0.10000	0.10000	0.10000	3.94359	0.10000	0.10000	0.10000	0.10000	0.10000
