k = 3
alpha = 0.333333
eta = 1
mean = 0
var = 1
prob = 0.5
comm_str = 0.57612 0.891099 0.0949437 
n = 100
pi = 
1	0	0	
1	0	0	
0	1	0	
1	0	0	
0	1	0	
0	1	0	
1	0	0	
0	0	0	
0	1	0	
0	0	1	
1	0	0	
0	0	1	
0	1	0	
0	0	1	
0	0	1	
0	0	0	
0	0	1	
1	0	0	
0	1	0	
0	0	1	
1	0	0	
0	1	0	
1	0	0	
0	1	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
0	0	1	
1	0	0	
1	0	0	
0	0	1	
1	0	0	
1	0	0	
0	1	0	
0	1	0	
1	0	0	
0	0	1	
0	1	0	
0	1	0	
0	1	0	
0	1	0	
0	1	0	
1	0	0	
0	0	0	
1	0	0	
1	0	0	
0	1	0	
0	0	1	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
0	0	0	
0	0	1	
0	0	1	
1	0	0	
0	0	1	
1	0	0	
1	0	0	
0	1	0	
1	0	0	
0	1	0	
0	0	0	
1	0	0	
0	1	0	
0	0	1	
0	1	0	
1	0	0	
1	0	0	
0	0	1	
1	0	0	
0	1	0	
0	1	0	
0	1	0	
1	0	0	
0	0	1	
0	0	1	
0	0	0	
0	1	0	
0	0	1	
0	1	0	
0	0	0	
0	0	1	
1	0	0	
1	0	0	
0	0	0	
1	0	0	
0	0	1	
0	1	0	
1	0	0	
0	1	0	
0	0	1	
0	1	0	
0	0	1	
1	0	0	
0	1	0	
0	1	0	
0	1	0	
1	0	0	
